mapid	code_link	sm_link	web_link
FGazzelloni_2021_10	https://github.com/Fgazzelloni/30DayMapChallenge/blob/master/day10_raster/day10_raster.Rmd	https://twitter.com/FGazzelloni/status/1458920004624257026	_
FGazzelloni_2021_11	https://github.com/Fgazzelloni/30DayMapChallenge/blob/master/day11_3D/day11-3D.R	https://twitter.com/FGazzelloni/status/1458931210424573958	_
FGazzelloni_2021_12	https://github.com/Fgazzelloni/30DayMapChallenge/blob/master/day12_population/day12-population.Rmd	https://twitter.com/FGazzelloni/status/1459296246586355716	_
FGazzelloni_2021_13	https://github.com/Fgazzelloni/30DayMapChallenge/blob/master/day13_naturalearth/day13_naturalearth.Rmd	https://twitter.com/FGazzelloni/status/1459852555576647683	_
geodatascience_2020_04	https://github.com/patrickballantyne/30DayMapChallenge/blob/main/Patterns_Hexmap.R	https://twitter.com/geodatascience/status/1323958241202765824	https://raw.githubusercontent.com/patrickballantyne/30DayMapChallenge/main/retailpatterns_hexmap.gif
geodatascience_2021_11	https://github.com/patrickballantyne/30DayMapChallenge/blob/main/2021%20-%20Starbucks%203D.R	https://twitter.com/geodatascience/status/1458766464853458952	_
geokaramanis_2021_01	https://github.com/gkaramanis/30DayMapChallenge/blob/main/2021/01-points/01-points-heating.R	https://twitter.com/geokaramanis/status/1455237859494010885	_
geokaramanis_2021_02	https://github.com/gkaramanis/30DayMapChallenge/blob/main/2021/02-lines/02-lines-ferries.R	https://twitter.com/geokaramanis/status/1455563097775747073	_
geokaramanis_2021_03	https://github.com/gkaramanis/30DayMapChallenge/blob/main/2021/03-polygons/03-polygons-wildlife.R	https://twitter.com/geokaramanis/status/1455902822906613762	_
geokaramanis_2021_04	https://github.com/gkaramanis/30DayMapChallenge/blob/main/2021/04-hexagons/04-hexagons-saint.R	https://twitter.com/geokaramanis/status/1456227959703052288	_
geokaramanis_2021_05	https://github.com/gkaramanis/30DayMapChallenge/blob/main/2021/05-osm/05-osm-speed.R	https://twitter.com/geokaramanis/status/1456628624329687046	_
geokaramanis_2021_06	https://github.com/gkaramanis/30DayMapChallenge/blob/main/2021/06-red/06-red-temp.R	https://twitter.com/geokaramanis/status/1456879535908065280	_
geokaramanis_2021_07	https://github.com/gkaramanis/30DayMapChallenge/blob/main/2021/07-green/07-green-vegetation.R	https://twitter.com/geokaramanis/status/1457363254947237903	_
geokaramanis_2021_08	https://github.com/gkaramanis/30DayMapChallenge/blob/main/2021/08-blue/08-blue-bathy.R	https://twitter.com/geokaramanis/status/1457641664995020803	_
gisertweets_2021_05	https://twitter.com/gisertweets/status/1456570355108167682	https://twitter.com/gisertweets/status/1456570355108167682	_
hrbrmstr_2019_01	https://rud.is/books/30-day-map-challenge/points-01.html	https://twitter.com/hrbrmstr/status/1190235455025025024	_
hrbrmstr_2019_02	https://rud.is/books/30-day-map-challenge/lines-01.html	https://twitter.com/hrbrmstr/status/1190603503556796417	_
hrbrmstr_2019_03	https://rud.is/books/30-day-map-challenge/polygons-01.html	https://twitter.com/hrbrmstr/status/1191002769420886019	_
hrbrmstr_2019_04	https://rud.is/books/30-day-map-challenge/hex-01.html	https://twitter.com/hrbrmstr/status/1191345070508773376	_
